IDPLAYER,PLAYERNAME,BIRTHDATE,FIRSTNAME,LASTNAME,TEAM,LG,POS,IDFANGRAPHS,FANGRAPHSNAME,MLBID,MLBNAME,CBSID,CBSNAME,RETROID,BREFID,NFBCID,NFBCNAME,ESPNID,ESPNNAME,KFFLNAME,DAVENPORTID,BPID,YAHOOID,YAHOONAME,MSTRBLLNAME,BATS,THROWS,FANTPROSNAME,LASTCOMMAFIRST,ROTOWIREID,FANDUELNAME,FANDUELID,DRAFTKINGSNAME,OTTONEUID,HQID
forsylo01,Logan Forsythe,"Jan 14, 1987",Logan,Forsythe,TB,AL,2B,7185,Logan Forsythe,523253,Logan Forsythe,1735788,Logan Forsythe,forsl001,forsylo01,8921,Logan Forsythe,30579,Logan Forsythe,Logan Forsythe,FORSYTHE19870114A,58915,8921,Logan Forsythe,"Forsythe, Logan",R,R,Logan Forsythe,"Forsythe, Logan",10532,Logan Forsythe,13072,Logan Forsythe,8112,3796
fowlede01,Dexter Fowler,"Mar 22, 1986",Dexter,Fowler,N/A,N/A,OF,4062,Dexter Fowler,451594,Dexter Fowler,1208709,Dexter Fowler,fowld001,fowlede01,8370,Dexter Fowler,29252,Dexter Fowler,Dexter Fowler,FOWLER19860322A,47493,8370,Dexter Fowler,"Fowler, Dexter",B,R,Dexter Fowler,"Fowler, Dexter",8271,Dexter Fowler,5077,Dexter Fowler,2306,3078
francbe01,Ben Francisco,"Oct 23, 1981",Ben,Francisco,ARI,NL,OF,4677,Ben Francisco,450204,Ben Francisco,486536,Ben Francisco,franb001,francbe01,7948,Ben Francisco,,,,FRANCISCO19811023A,35575,7948,Ben Francisco,"Francisco, Ben",R,R,,"Francisco, Ben",,,,,3375,
francfr01,Frank Francisco,"Sep 11, 1979",Frank,Francisco,CHW,AL,P,1933,Frank Francisco,407911,Frank Francisco,484950,Frank Francisco,franf001,francfr01,7327,Frank Francisco,5963,Frank Francisco,,FRANCISCO19790911A,35574,7327,Frank Francisco,"Francisco, Frank",R,R,,"Francisco, Frank",,,,,819,
francje01,Jeff Francis,"Jan 8, 1981",Jeff,Francis,N/A,N/A,P,4684,Jeff Francis,433585,Jeff Francis,517683,Jeff Francis,franj003,francje01,7383,Jeff Francis,6038,Jeff Francis,,FRANCIS19810108A,31585,7383,Jeff Francis,"Francis, Jeff",L,L,,"Francis, Jeff",,Jeff Francis,5942,,8768,
francje02,Jeff Francoeur,"Jan 8, 1984",Jeff,Francoeur,MIA,NL,OF,4792,Jeff Francoeur,425796,Jeff Francoeur,389741,Jeff Francoeur,franj004,francje02,7594,Jeff Francoeur,6345,Jeff Francoeur,,FRANCOEUR19840108A,31345,7594,Jeff Francoeur,"Francoeur, Jeff",R,R,Jeff Francoeur,"Francoeur, Jeff",,Jeff Francoeur,5092,Jeff Francoeur,8459,
francju02,Juan Francisco,"Jun 24, 1987",Juan,Francisco,BOS,AL,3B,6978,Juan Francisco,464433,Juan Francisco,1600671,Juan Francisco,franj005,francju02,8598,Juan Francisco,29601,Juan Francisco,Juan Francisco,FRANCISCO19870624A,52175,8598,Juan Francisco,"Francisco, Juan",L,R,Juan Francisco,"Francisco, Juan",,,,,3004,
francma02,Maikel Franco,"Aug 26, 1992",Maikel,Franco,PHI,NL,3B,12179,Maikel Franco,596748,Maikel Franco,1947851,Maikel Franco,franm004,francma02,9609,,32163,Maikel Franco,Maikel Franco,FRANCO19920826A,68156,9609,Maikel Franco,"Franco, Maikel",L,R,Maikel Franco,"Franco, Maikel",12368,Maikel Franco,52178,Maikel Franco,13821,4491
frandke01,Kevin Frandsen,"May 24, 1982",Kevin,Frandsen,N/A,N/A,OF,7528,Kevin Frandsen,435623,Kevin Frandsen,546041,Kevin Frandsen,frank001,frandke01,7749,Kevin Frandsen,6528,Kevin Frandsen,Kevin Frandsen,FRANDSEN19820524A,46014,7749,Kevin Frandsen,"Frandsen, Kevin",R,R,Kevin Frandsen,"Frandsen, Kevin",,,,,3674,
frankni01,Nick Franklin,"Mar 2, 1991",Nick,Franklin,TB,AL,OF,10166,Nick Franklin,545338,Nick Franklin,1740931,Nick Franklin,frann001,frankni01,9115,Nick Franklin,30661,Nick Franklin,Nick Franklin,FRANKLIN19910302A,59421,9115,Nick Franklin,"Franklin, Nick",B,R,Nick Franklin,"Franklin, Nick",11001,Nick Franklin,16953,,6265,
frankry01,Ryan Franklin,"Mar 5, 1973",Ryan,Franklin,N/A,N/A,P,1076,Ryan Franklin,211041,Ryan Franklin,24554,Ryan Franklin,franr001,frankry01,,,4064,Ryan Franklin,,FRANKLIN19730305A,1151,,,"Franklin, Ryan",R,R,,"Franklin, Ryan",,,,,8746,
frasoja01,Jason Frasor,"Aug 9, 1977",Jason,Frasor,N/A,N/A,P,1906,Jason Frasor,430630,Jason Frasor,448928,Jason Frasor,frasj002,frasoja01,7310,Jason Frasor,5938,Jason Frasor,,FRASOR19770809A,35597,7310,Jason Frasor,"Frasor, Jason",R,R,,"Frasor, Jason",8013,Jason Frasor,5621,Jason Frasor,15285,
fraziad01,Adam Frazier,,Adam,Frazier,PIT,NL,OF,15223,Adam Frazier,624428,Adam Frazier,2121473,,,fraziad01,10322,,33546,Adam Frazier,,,101618,,,"Frazier, Adam",L,R,,"Frazier, Adam",,,,,,
fraziecl01,Clint Frazier,"Sep 6, 1994",Clint,Frazier,NYY,AL,OF,sa737437,Clint Frazier,640449,Clint Frazier,,,,,,,33188,Clint Frazier,,,,,,"Frazier, Clint",R,R,,,,,,,18246,
frazito01,Todd Frazier,"Feb 12, 1986",Todd,Frazier,CHW,AL,3B,785,Todd Frazier,453943,Todd Frazier,1630078,Todd Frazier,frazt001,frazito01,8629,Todd Frazier,30004,Todd Frazier,Todd Frazier,FRAZIER19860212A,53395,8629,Todd Frazier,"Frazier, Todd",R,R,Todd Frazier,"Frazier, Todd",9848,Todd Frazier,12863,Todd Frazier,5641,3391
freemfr01,Freddie Freeman,"Sep 12, 1989",Freddie,Freeman,ATL,NL,1B,5361,Freddie Freeman,518692,Freddie Freeman,1630079,Freddie Freeman,freef001,freemfr01,8658,Freddie Freeman,30193,Freddie Freeman,Freddie Freeman,FREEMAN19890912A,56289,8658,Freddie Freeman,"Freeman, Freddie",L,R,Freddie Freeman,"Freeman, Freddie",9902,Freddie Freeman,11334,Freddie Freeman,5680,3393
freemsa01,Sam Freeman,"Jun 24, 1987",Sam,Freeman,MIL,NL,P,6832,Sam Freeman,518693,Sam Freeman,1915106,Sam Freeman,frees001,freemsa01,9204,Sam Freeman,32075,Sam Freeman,,FREEMAN19870624A,57860,9204,Sam Freeman,"Freeman, Sam",R,L,,"Freeman, Sam",,Sam Freeman,17103,Sam Freeman,8913,
freesda01,David Freese,"Apr 28, 1983",David,Freese,PIT,NL,3B,9549,David Freese,501896,David Freese,1225732,David Freese,freed001,freesda01,8402,David Freese,29694,David Freese,David Freese,FREESE19830428A,51110,8402,David Freese,"Freese, David",R,R,David Freese,"Freese, David",9914,David Freese,5945,David Freese,1975,3162
friasca01,Carlos Frias,"Nov 13, 1989",Carlos,Frias,LAD,NL,P,3547,Carlos Frias,516910,Carlos Frias,2117542,Carlos Frias,friac001,friasca01,9780,Carlos Frias,33272,Carlos Frias,,,56292,9780,Carlos Frías,"Frias, Carlos",R,R,,"Frias, Carlos",,Carlos Frias,52723,Carlos Frias,11408,
friedch01,Christian Friedrich,"Jul 8, 1987",Christian,Friedrich,SD,NL,P,7942,Christian Friedrich,543184,Christian Friedrich,1685072,Christian Friedrich,friec001,friedch01,8661,Christian Friedrich,30603,Christian Friedrich,,FRIEDRICH19870708A,57866,8661,Christian Friedrich,"Friedrich, Christian",R,L,,"Friedrich, Christian",,Christian Friedrich,11340,Christian Friedrich,8498,
frierer01,Ernesto Frieri,"Jul 19, 1985",Ernesto,Frieri,N/A,N/A,P,5178,Ernesto Frieri,457117,Ernesto Frieri,1390885,Ernesto Frieri,friee001,frierer01,8599,Ernesto Frieri,29984,Ernesto Frieri,,FRIERI19850719A,45918,8599,Ernesto Frieri,"Frieri, Ernesto",R,R,Ernesto Frieri,"Frieri, Ernesto",9743,Ernesto Frieri,8080,,3622,
fuentbr01,Brian Fuentes,"Aug 9, 1975",Brian,Fuentes,N/A,N/A,P,429,Brian Fuentes,150118,Brian Fuentes,21553,Brian Fuentes,fuenb001,fuentbr01,,,,,,FUENTES19750809A,830,,,"Fuentes, Brian",L,L,,"Fuentes, Brian",,,,,6999,
fuentra01,Reymond Fuentes,"Feb 12, 1991",Reymond,Fuentes,KC,AL,OF,10329,Reymond Fuentes,571681,Reymond Fuentes,1757976,Reymond Fuentes,fuenr001,fuentre01,9502,Reymond Fuentes,31280,Reymond Fuentes,,FUENTES19910212A,59641,9502,Reymond Fuentes,"Fuentes, Reymond",L,L,Reymond Fuentes,"Fuentes, Reymond",,Reymond Fuentes,13756,Reymond Fuentes,5726,
fujikky01,Kyuji Fujikawa,"Jul 21, 1980",Kyuji,Fujikawa,N/A,N/A,P,14443,Kyuji Fujikawa,493117,Kyuji Fujikawa,2029077,Kyuji Fujikawa,fujik001,fujikky01,9316,Kyuji Fujikawa,32583,Kyuji Fujikawa,,FUJIKAWA00000000A,35683,9316,Kyuji Fujikawa,"Fujikawa, Kyuji",L,R,Kyuji Fujikawa,"Fujikawa, Kyuji",10273,Kyuji Fujikawa,36899,,18211,
fukudko01,Kosuke Fukudome,"Apr 26, 1977",Kosuke,Fukudome,N/A,N/A,OF,3263,Kosuke Fukudome,493120,Kosuke Fukudome,1434331,Kosuke Fukudome,fukuk001,fukudko01,8165,Kosuke Fukudome,,,,FUKUDOME00000000A,35695,,,"Fukudome, Kosuke",L,R,,"Fukudome, Kosuke",,,,,15521,
fuldsa01,Sam Fuld,"Nov 20, 1981",Sam,Fuld,OAK,AL,OF,8254,Sam Fuld,453539,Sam Fuld,1102962,Sam Fuld,fulds001,fuldsa01,8133,Sam Fuld,28905,Sam Fuld,Sam Fuld,FULD19811120A,45939,8133,Sam Fuld,"Fuld, Sam",L,L,Sam Fuld,"Fuld, Sam",9455,Sam Fuld,5057,Sam Fuld,3821,
fulmeca01,Carson Fulmer,"Dec 13, 1993",Carson,Fulmer,CHW,AL,P,18311,Carson Fulmer,608334,Carson Fullmer,,,,fulmeca01,,,34913,Carson Fulmer,,,,,,,R,R,,"Fulmer, Carson",,,,,,
fulmemi01,Michael Fulmer,"Mar 15, 1993",Michael,Fulmer,DET,AL,P,13218,Michael Fulmer,605242,Michael Fulmer,2007003,,,fulmemi01,10179,,34842,Michael Fulmer,,,70445,,,,R,R,,"Fulmer, Michael",,Michael Fulmer,68520,Michael Fulmer,,
furbuch01,Charlie Furbush,"Apr 11, 1986",Charlie,Furbush,SEA,AL,P,1370,Charlie Furbush,518703,Charlie Furbush,1757233,Charlie Furbush,furbc001,furbuch01,8869,Charlie Furbush,31589,Charlie Furbush,,FURBUSH19860411A,56302,8869,Charlie Furbush,"Furbush, Charlie",L,L,Charlie Furbush,"Furbush, Charlie",9973,Charlie Furbush,12941,Charlie Furbush,4860,
furcara02,Rafael Furcal,"Oct 24, 1977",Rafael,Furcal,MIA,NL,2B,88,Rafael Furcal,279577,Rafael Furcal,174989,Rafael Furcal,furcr001,furcara02,6404,Rafael Furcal,4243,Rafael Furcal,Rafael Furcal,FURCAL19771024A,73,6404,Rafael Furcal,"Furcal, Rafael",B,R,Rafael Furcal,"Furcal, Rafael",,,,Rafael Furcal,3654,
galarar01,Armando Galarraga,"Jan 15, 1982",Armando,Galarraga,N/A,N/A,P,4222,Armando Galarraga,451482,Armando Galarraga,573175,Armando Galarraga,galaa002,galarar01,8140,Armando Galarraga,,,,GALARRAGA19820115A,47587,8140,Armando Galarraga,"Galarraga, Armando",R,R,,"Galarraga, Armando",,,,,1194,
gallayo01,Yovani Gallardo,"Feb 27, 1986",Yovani,Gallardo,BAL,AL,P,8173,Yovani Gallardo,451596,Yovani Gallardo,1179742,Yovani Gallardo,gally001,gallayo01,7926,Yovani Gallardo,28650,Yovani Gallardo,,GALLARDO19860227A,47591,7926,Yovani Gallardo,"Gallardo, Yovani",R,R,Yovani Gallardo,"Gallardo, Yovani",8334,Yovani Gallardo,5440,Yovani Gallardo,735,
gallojo01,Joey Gallo,"Nov 19, 1993",Joey,Gallo,TEX,AL,3B,14128,Joey Gallo,608336,Joey Gallo,2007960,Joey Gallo,,gallojo01,9630,Joey Gallo,32818,Joey Gallo,,,70613,9630,Joey Gallo,"Gallo, Joey",L,R,Joey Gallo,"Gallo, Joey",,Joey Gallo,38321,Joey Gallo,18188,
galvifr01,Freddy Galvis,"Nov 14, 1989",Freddy,Galvis,PHI,NL,SS,6609,Freddy Galvis,520471,Freddy Galvis,1603347,Freddy Galvis,galvf001,galvifr01,9132,Freddy Galvis,29670,Freddy Galvis,Freddy Galvis,GALVIS19891114A,57302,9132,Freddy Galvis,"Galvis, Freddy",B,R,Freddy Galvis,"Galvis, Freddy",11210,Freddy Galvis,13102,Freddy Galvis,5111,3954
gamelbe01,Ben Gamel,"May 17, 1992",Ben,Gamel,SEA,AL,OF,12160,Ben Gamel,592325,Ben Gamel,,,,gamelbe01,,,31824,Ben Gamel,,,,,,,L,L,,"Gamel, Ben",,,,,,
gamelma01,Mat Gamel,"Jul 26, 1985",Mat,Gamel,ATL,NL,1B,4034,Mat Gamel,451143,Mat Gamel,1098929,Mat Gamel,gamem001,gamelma01,8345,Mat Gamel,29230,Mat Gamel,Mat Gamel,GAMEL19850726A,46071,8345,Mat Gamel,"Gamel, Mat",L,R,,"Gamel, Mat",,,,,1682,
garciad01,Adonis Garcia,"Apr 12, 1985",Adonis,Garcia,ATL,NL,3B,13777,Adonis Garcia,611177,Adonis Garcia,2040763,,,garciad01,9966,,33080,Adonis Garcia,,,100357,,,"Garcia, Adonis",R,R,Adonis Garcia,"Garcia, Adonis",,Adonis Garcia,38088,Adonis Garcia,18551,
garciav01,Avisail Garcia,"Jun 12, 1991",Avisail,Garcia,CHW,AL,OF,5760,Avisail Garcia,541645,Avisail Garcia,1740934,Avisail Garcia,garca003,garciav01,9281,Avisail Garcia,30729,Avisail Garcia,Avisail Garcia,GARCIA19910612A,59016,9281,Avisail Garcia,"Garcia, Avisail",R,R,Avisail Garcia,"Garcia, Avisail",10922,Avisail Garcia,12985,Avisail Garcia,6091,4191
garcich02,Christian Garcia,"Aug 24, 1985",Christian,Garcia,N/A,N/A,P,4067,Christian Garcia,451600,Christian Garcia,1654383,Christian Garcia,garcc002,garcich02,9269,Christian Garcia,30080,Christian Garcia,,GARCIA19850824A,47616,9269,Christian Garcia,"Garcia, Christian",R,R,,"Garcia, Christian",,,,,3095,
garcifr03,Freddy Garcia,"Oct 6, 1976",Freddy,Garcia,N/A,N/A,P,1077,Freddy Garcia,150119,Freddy Garcia,21559,Freddy Garcia,garcf001,garcifr03,6168,Freddy Garcia,4007,Freddy Garcia,,GARCIA19760610A,1152,6168,Freddy Garcia,"Garcia, Freddy",R,R,,"Garcia, Freddy",,,,,1725,
garcigr01,Greg Garcia,"Aug 8, 1989",Greg,Garcia,STL,NL,SS,10951,Greg Garcia,594824,Greg Garcia,1953803,,,garcigr01,9688,,32211,Greg Garcia,,,67754,,,"Garcia, Greg",L,R,,"Garcia, Greg",,,,,14309,
garcija02,Jaime Garcia,"Jul 8, 1986",Jaime,Garcia,ATL,NL,P,8137,Jaime Garcia,448802,Jaime Garcia,1537183,Jaime Garcia,garcj004,garcija02,8300,Jaime Garcia,29185,Jaime Garcia,,GARCIA19860708A,52254,8300,Jaime Garcia,"Garcia, Jaime",L,L,Jaime Garcia,"Garcia, Jaime",9600,Jaime Garcia,11088,Jaime Garcia,1474,2990
garciyi01,Yimi Garcia,"Aug 18, 1990",Yimi,Garcia,LAD,NL,P,12095,Yimi Garcia,554340,Yimi Garcia,2048494,Yimi Garcia,garcy001,garciyi01,9815,Yimi Garcia,32888,Yimi Garcia,,GARCIA19900818A,66174,9815,Yimi García,"Garcia, Yimi",R,R,,"Garcia, Yimi",,Yimi Garcia,38563,Yimi Garcia,10429,4747
gardnbr01,Brett Gardner,"Aug 24, 1983",Brett,Gardner,NYY,AL,OF,9927,Brett Gardner,458731,Brett Gardner,1200052,Brett Gardner,gardb001,gardnbr01,8289,Brett Gardner,29174,Brett Gardner,Brett Gardner,GARDNER19830824A,47454,8289,Brett Gardner,"Gardner, Brett",L,L,Brett Gardner,"Gardner, Brett",9623,Brett Gardner,5948,Brett Gardner,1244,2973
garlajo01,Jon Garland,"Sep 27, 1979",Jon,Garland,N/A,N/A,P,232,Jon Garland,279782,Jon Garland,174783,Jon Garland,garlj001,garlajo01,6396,Jon Garland,,,,GARLAND19790927A,1532,6396,Jon Garland,"Garland, Jon",R,R,,"Garland, Jon",,,,,18096,
garnedu01,Dustin Garneau,"Aug 13, 1987",Dustin,Garneau,COL,NL,C,9433,Dustin Garneau,572863,Dustin Garneau,2117267,,,garnedu01,10051,,33257,Dustin Garneau,,,60238,,,,R,R,,"Garneau, Dustin",,Dustin Garneau,52885,Dustin Garneau,11636,
garzama01,Matt Garza,"Nov 11, 1983",Matt,Garza,MIL,NL,P,3340,Matt Garza,490063,Matt Garza,1098892,Matt Garza,garzm001,garzama01,7823,Matt Garza,28528,Matt Garza,,GARZA19831111A,49349,7823,Matt Garza,"Garza, Matt",R,R,Matt Garza,"Garza, Matt",8668,Matt Garza,5711,Matt Garza,3141,2396
gattiev01,Evan Gattis,"Aug 18, 1986",Evan,Gattis,HOU,AL,C,11003,Evan Gattis,594828,Evan Gattis,1941510,Evan Gattis,gatte001,gattiev01,9356,Evan Gattis,32863,Evan Gattis,Evan Gattis,GATTIS19860818A,67758,9356,Evan Gattis,"Gattis, Evan",R,R,Evan Gattis,"Gattis, Evan",12112,Evan Gattis,17015,Evan Gattis,14194,4094
gaudich01,Chad Gaudin,"Mar 24, 1983",Chad,Gaudin,N/A,N/A,P,1783,Chad Gaudin,429985,Chad Gaudin,404386,Chad Gaudin,gaudc001,gaudich01,7199,Chad Gaudin,5627,Chad Gaudin,,GAUDIN19830324A,35922,7199,Chad Gaudin,"Gaudin, Chad",R,R,,"Gaudin, Chad",,,,,7458,
gausmke01,Kevin Gausman,"Jan 6, 1991",Kevin,Gausman,BAL,AL,P,14107,Kevin Gausman,592332,Kevin Gausman,2000033,Kevin Gausman,gausk001,gausmke01,9334,Kevin Gausman,32667,Kevin Gausman,,GAUSMAN19910106A,68557,9334,Kevin Gausman,"Gausman, Kevin",L,R,Kevin Gausman,"Gausman, Kevin",11473,Kevin Gausman,38000,Kevin Gausman,18196,4311
gearrco01,Cory Gearrin,"Apr 14, 1986",Cory,Gearrin,SF,NL,P,7947,Cory Gearrin,518715,Cory Gearrin,1740938,Cory Gearrin,gearc001,gearrco01,8910,Cory Gearrin,30665,Cory Gearrin,,GEARRIN19860414A,56333,8910,Cory Gearrin,"Gearrin, Cory",R,R,,"Gearrin, Cory",,Cory Gearrin,13140,Cory Gearrin,5679,
geedi01,Dillon Gee,"Apr 28, 1986",Dillon,Gee,KC,AL,P,7396,Dillon Gee,518716,Dillon Gee,1661428,Dillon Gee,gee-d001,geedi01,8816,Dillon Gee,30139,Dillon Gee,,GEE19860428A,56334,8816,Dillon Gee,"Gee, Dillon",R,R,Dillon Gee,"Gee, Dillon",10632,Dillon Gee,12575,Dillon Gee,5498,
geltzst01,Steve Geltz,"Nov 1, 1987",Steve,Geltz,MIL,NL,P,8402,Steve Geltz,544993,Steve Geltz,1811025,Steven Geltz,gelts001,geltzst01,9266,Steve Geltz,31393,Steven Geltz,,GELTZ19871101A,58219,9266,Steve Geltz,"Geltz, Steve",R,R,,"Geltz, Steve",,Steve Geltz,13874,Steve Geltz,9454,
gennesc01,Scooter Gennett,"May 1, 1990",Scooter,Gennett,MIL,NL,2B,10339,Scooter Gennett,571697,Scooter Gennett,1803884,Scooter Gennett,genns001,gennesc01,9420,Scooter Gennett,31175,Scooter Gennett,Scooter Gennett,GENNETT19900501A,66539,9420,Scooter Gennett,"Gennett, Scooter",L,R,Scooter Gennett,"Gennett, Scooter",11410,Scooter Gennett,13286,Scooter Gennett,6242,4233
gentrcr01,Craig Gentry,"Nov 29, 1983",Craig,Gentry,LAA,AL,OF,9571,Craig Gentry,502226,Craig Gentry,1665405,Craig Gentry,gentc001,gentrcr01,8574,Craig Gentry,30267,Craig Gentry,Craig Gentry,GENTRY19831129A,50191,8574,Craig Gentry,"Gentry, Craig",R,R,Craig Gentry,"Gentry, Craig",11215,Craig Gentry,6283,Craig Gentry,2902,
germego01,Gonzalez Germen,"Sep 23, 1987",Gonzalez,Germen,COL,NL,P,5876,Gonzalez Germen,542674,Gonzalez Germen,2027449,Gonzalez Germen,germg001,germego01,9450,Gonzalez Germen,33076,Gonzalez Germen,,GERMEN19870923A,59935,9450,González Germen,"Germen, Gonzalez",R,R,,"Germen, Gonzalez",,Gonzalez Germen,38182,Gonzalez Germen,17860,
getzch01,Chris Getz,"Aug 30, 1983",Chris,Getz,N/A,N/A,2B,3388,Chris Getz,460051,Chris Getz,1098930,Chris Getz,getzc001,getzch01,8321,Chris Getz,29207,Chris Getz,Chris Getz,GETZ19830830A,47537,8321,Chris Getz,"Getz, Chris",L,R,,"Getz, Chris",,,,,17897,
giambja01,Jason Giambi,"Jan 8, 1971",Jason,Giambi,N/A,N/A,DH,818,Jason Giambi,114739,Jason Giambi,7633,Jason Giambi,giamj001,giambja01,5386,Jason Giambi,3226,Jason Giambi,,GIAMBI19710108A,1583,5386,Jason Giambi,"Giambi, Jason",L,R,Jason Giambi,"Giambi, Jason",,,,,7133,
giavojo01,Johnny Giavotella,"Jul 10, 1987",Johnny,Giavotella,LAA,AL,2B,6740,Johnny Giavotella,543213,Johnny Giavotella,1793166,Johnny Giavotella,giavj001,giavojo01,9010,Johnny Giavotella,31128,Johnny Giavotella,,GIAVOTELL19870710A,58220,9010,Johnny Giavotella,"Giavotella, Johnny",R,R,Johnny Giavotella,"Giavotella, Johnny",,Johnny Giavotella,13210,Johnny Giavotella,8042,
gibsoky01,Kyle Gibson,"Oct 23, 1987",Kyle,Gibson,MIN,AL,P,10123,Kyle Gibson,502043,Kyle Gibson,1739665,Kyle Gibson,gibsk002,gibsoky01,8864,Kyle Gibson,31053,Kyle Gibson,,GIBSON19871023A,65801,8864,Kyle Gibson,"Gibson, Kyle",R,R,Kyle Gibson,"Gibson, Kyle",10945,Kyle Gibson,12936,Kyle Gibson,4943,3670
gileske01,Ken Giles,"Sep 20, 1990",Ken,Giles,HOU,AL,P,12910,Ken Giles,571704,Ken Giles,2044511,Ken Giles,gilek001,gileske01,9729,Ken Giles,32762,Ken Giles,,GILES19900920A,70354,9729,Ken Giles,"Giles, Ken",R,R,Kenneth Giles,"Giles, Ken",12732,Ken Giles,52977,Ken Giles,18220,4648
gillaco01,Conor Gillaspie,"Jul 18, 1987",Conor,Gillaspie,SF,NL,3B,9009,Conor Gillaspie,543216,Conor Gillaspie,1639054,Conor M. Gillaspie,gillc001,gillaco01,8378,Conor Gillaspie,29263,Conor Gillaspie,,GILLASPIE19870718A,57748,8378,Conor Gillaspie,"Gillaspie, Conor",L,R,Conor Gillaspie,"Gillaspie, Conor",10517,Conor Gillaspie,12855,Conor Gillaspie,5072,
gimench01,Chris Gimenez,"Dec 27, 1982",Chris,Gimenez,CLE,AL,C,7324,Chris Gimenez,460269,Chris Gimenez,1520594,,,gimench01,8504,,,,,,47575,,,"Gimenez, Chris",R,R,,"Gimenez, Chris",,Chris Gimenez,5227,Chris Gimenez,1922,
gimenhe01,Hector Gimenez,"Sep 28, 1982",Hector,Gimenez,CHW,AL,C,2172,Hector Gimenez,430591,Hector Gimenez,448406,Hector Gimenez,gimeh001,gimenhe01,7894,Hector Gimenez,,,,GIMENEZ19820928A,36019,7894,Hector Gimenez,"Gimenez, Hector",B,R,,"Gimenez, Hector",,,,,5047,
gindlca01,Caleb Gindl,"Aug 31, 1988",Caleb,Gindl,N/A,N/A,OF,5002,Caleb Gindl,518725,Caleb Gindl,1670506,Caleb Gindl,gindc001,gindlca01,9435,Caleb Gindl,30326,Caleb Gindl,Caleb Gindl,GINDL19880831A,56346,9435,Caleb Gindl,"Gindl, Caleb",L,L,Caleb Gindl,"Gindl, Caleb",,,,,5186,
giolilu01,Lucas Giolito,"Jul 14, 1994",Lucas,Giolito,WAS,NL,P,15474,Lucas Giolito,608337,Lucas Giolito,2000027,,,giolilu01,9640,,32697,Lucas Giolito,,,100261,,,"Giolito, Lucas",R,R,Lucas Giolito,"Giolito, Lucas",,,,Lucas Giolito,,
givenmy01,Mychal Givens,"May 13, 1990",Mychal,Givens,BAL,AL,P,10430,Mychal Givens,571710,Mychal Givens,1958127,,,givenmy01,10003,,31618,Mychal Givens,,,66543,,,,R,R,,"Givens, Mychal",,,,Mychal Givens,12845,
glasnty01,Tyler Glasnow,"Aug 23, 1993",Tyler,Glasnow,PIT,NL,P,14374,Tyler Glasnow,607192,Tyler Glasnow,2068548,,,glasnty01,9616,,33190,Tyler Glasnow,,,70795,,,"Glasnow, Tyler",L,R,Tyler Glasnow,"Glasnow, Tyler",,,,,,
glaustr01,Troy Glaus,"Aug 3, 1976",Troy,Glaus,N/A,N/A,3B,15,Troy Glaus,136267,Troy Glaus,13014,Troy Glaus,glaut001,glaustr01,,,,,,GLAUS19760803A,879,,,"Glaus, Troy",R,R,,"Glaus, Troy",,,,,8738,
godfrgr01,Graham Godfrey,"Aug 9, 1984",Graham,Godfrey,N/A,N/A,P,3128,Graham Godfrey,453232,Graham Godfrey,1838243,Graham Godfrey,godfg001,godfrgr01,8961,Graham Godfrey,,,,GODFREY19840809A,56353,8961,Graham Godfrey,"Godfrey, Graham",R,R,,"Godfrey, Graham",,,,,4064,
goeddty01,Tyler Goeddel,"Oct 20, 1992",Tyler,Goeddel,PHI,NL,OF,13180,Tyler Goeddel,595963,Tyler Goeddel,2171700,,,goeddty01,10244,,34249,Tyler Goeddel,,,70767,,,,R,R,,"Goeddel, Tyler",,Tyler Goeddel,68606,Tyler Goeddel,23584,
goinsry01,Ryan Goins,"Feb 13, 1988",Ryan,Goins,TOR,AL,SS,9807,Ryan Goins,572365,Ryan Goins,1740939,Ryan Goins,goinr001,goinsry01,9499,Ryan Goins,30636,Ryan Goins,,GOINS19880213A,60144,9499,Ryan Goins,"Goins, Ryan",L,R,Ryan Goins,"Goins, Ryan",,Ryan Goins,13346,Ryan Goins,6012,
goldspa01,Paul Goldschmidt,"Sep 10, 1987",Paul,Goldschmidt,ARI,NL,1B,9218,Paul Goldschmidt,502671,Paul Goldschmidt,1765052,Paul Goldschmidt,goldp001,goldspa01,8967,Paul Goldschmidt,31027,Paul Goldschmidt,Paul Goldschmidt,GOLDSCHMI19870910A,59307,8967,Paul Goldschmidt,"Goldschmidt, Paul",R,R,Paul Goldschmidt,"Goldschmidt, Paul",11724,Paul Goldschmidt,12968,Paul Goldschmidt,4374,3872
gomesjo01,Jonny Gomes,"Nov 22, 1980",Jonny,Gomes,KC,AL,OF,1845,Jonny Gomes,430404,Jonny Gomes,433807,Jonny Gomes,gomej001,gomesjo01,7245,Jonny Gomes,5860,Jonny Gomes,Jonny Gomes,GOMES19801122A,31646,7245,Jonny Gomes,"Gomes, Jonny",R,R,Jonny Gomes,"Gomes, Jonny",7036,Jonny Gomes,5514,Jonny Gomes,4305,
gomesya01,Yan Gomes,"Jul 19, 1987",Yan,Gomes,CLE,AL,C,9627,Yan Gomes,543228,Yan Gomes,1945612,Yan Gomes,gomey001,gomesya01,9186,Yan Gomes,32108,Yan Gomes,Yan Gomes,GOMES19870719A,60834,9186,Yan Gomes,"Gomes, Yan",R,R,Yan Gomes,"Gomes, Yan",11394,Yan Gomes,16981,Yan Gomes,4988,4106
